"I0","PA500","HFS","DA","Area","ADA","MaxIP","DR","P","Class"
1461.750342,0.040841,0.049567,391.846023,5574.00282,14.224982,57.23148,NA,1428.839976,"con"
160.322452,0.176976,0.163363,NA,341.881462,9.186133,30.889164,20.75991,187.566518,"fad"
2600,0.069988,0.048869,NA,39845.7737,53.450226,154.122604,729.368395,2545.419744,"adi"
216.413257,0.11781,NA,NA,NA,5.232231,22.790535,NA,215.37292,"gla"
211,0.053931,0.094248,NA,151.984578,4.942034,14.268374,NA,NA,"fad"
438.780157,0.212407,0.060737,120.901596,4879.495576,40.359232,80.791779,89.943786,525.420149,"car"
250,0.047124,0.013963,NA,NA,3.161122,9.102176,70.3204,232.277629,"mas"
301.304399,0.109781,NA,64.6162,942.773191,14.590353,29.045677,NA,335.768459,"fad"
103,0.158127,0.291819,NA,78.258474,3.294426,22.323603,8.120826,124.978561,"gla"
1850,0.073304,0.225497,325.191542,NA,26.584284,208.739975,249.353486,1908.177239,"adi"
178,0.170868,NA,NA,NA,11.781776,35.747795,NA,NA,"mas"
172.515797,0.127235,0.038397,NA,192.218148,5.119855,19.322081,32.189821,NA,"mas"
352.656447,0.121999,0.090757,68.527846,1066.157846,15.558024,43.691925,52.792817,NA,"fad"
691.972031,0.026005,0.086568,NA,304.270718,1.595742,23.975718,189.163331,594.315626,"con"
252,0.106116,NA,38.54421,NA,12.811014,25.541145,NA,280.658299,"mas"
770,0.041628,0.002435,175.019684,NA,1.977442,25.22233,173.192737,NA,"con"
2000,0.106989,NA,NA,40087.92098,77.059161,204.090347,478.517223,2088.64887,"adi"
1900,0.054454,NA,272.618029,7481.59347,27.443502,138.359268,234.898496,1924.517895,"adi"
1949.118155,0.051798,NA,NA,NA,18.857799,101.455849,136.819329,NA,"adi"
281.323263,0.232303,NA,157.884181,5305.123206,33.60136,46.384335,150.916892,398.895549,"mas"
1724.089894,0.052709,NA,404.126208,3053.96689,7.556963,71.427589,399.194244,NA,"con"
500,0.192684,0.194779,NA,NA,21.114403,96.56337,107.751103,542.897089,"car"
269.495946,0.20752,0.038397,80.411085,1963.605248,24.419584,44.740154,NA,329.090647,"car"
1666.148786,0.012392,NA,72.93105,NA,19.226813,51.854767,58.595763,1746.577504,"adi"
197,0.132645,0.074002,33.460653,409.647141,12.242652,26.992807,NA,231.783788,"gla"
155,0.172788,0.118682,38.940168,NA,10.660242,25.836502,NA,NA,"fad"
144,0.120602,0.046077,19.64767,70.426239,3.584458,18.131014,7.569493,160.37377,"fad"
391,0.058119,0.01117,35.780061,265.14979,7.410546,22.131472,28.114244,NA,"gla"
470,0.213105,NA,184.590057,8185.360837,44.343455,84.482483,164.122511,NA,"car"
178,0.149575,0.099135,NA,474.404699,11.774569,25.920828,30.845499,209.180738,"gla"
195,0.139103,0.205251,37.462196,NA,8.765745,35.023827,13.29465,232.587628,"mas"
196.856714,0.020071,0.090757,28.593126,NA,2.869882,7.968783,27.661516,200.749336,"fad"
272,0.091455,0.004887,63.78938,718.94631,11.270627,20.085556,NA,NA,"fad"
2100,0.061959,-0.045379,390.482507,16640.72362,42.615798,125.900413,380.644703,2073.028685,"adi"
435.093167,0.076969,0.161268,123.597538,1342.277648,10.860068,37.384724,117.808038,433.202322,"mas"
366.942379,0.280125,NA,NA,7064.815909,40.897237,75.604324,155.322285,471.588195,"car"
339.508548,0.045379,0.03002,88.629809,NA,3.735542,19.825581,87.62118,307.793194,"mas"
196.364864,0.182911,0.142419,54.58308,NA,15.449156,34.149414,42.580865,NA,"mas"
1496.736054,0.103847,0.08238,640.27595,11071.9978,17.29254,108.286919,NA,1178.274278,"con"
470.51642,0.127409,0.066323,150.224022,2657.910367,17.692978,47.560631,142.496468,491.472488,"gla"
1600,0.071908,-0.066323,436.943603,12655.34213,28.963331,103.732704,NA,1475.371534,"adi"
502,0.065275,0.027925,NA,834.27273,15.670203,33.331142,41.514722,544.039415,"gla"
380,0.240855,0.286234,137.640111,5402.17118,39.248524,88.758446,NA,NA,"car"
330,0.226893,0.26529,121.154201,NA,26.109202,69.717361,NA,400.225776,"car"
355,0.064054,0.084474,89.558463,1033.854245,11.543903,27.562662,86.576561,372.039957,"fad"
2329.840138,0.066148,NA,NA,NA,67.246689,336.075165,171.387227,2686.435346,"adi"
423,0.219562,0.261799,NA,6108.106297,35.435762,79.056351,153.172903,NA,"car"
2800,0.083078,0.184307,583.259257,31388.65288,53.815953,298.582977,NA,NA,"adi"
1385.664721,0.092328,0.089361,202.480044,8785.028733,43.387134,143.092194,143.25778,1524.609204,"con"
